1,76E+01;2,70E+01;-9,37;
1,44E+01;3,91E+01;-24,69;
2,19E+01;2,14E+01;0,54;
1,38E+01;2,04E+01;-6,59;
4,43E+01;2,68E+01;17,50;
1,40E+01;2,16E+01;-7,59;
2,04E+01;2,15E+01;-1,10;
3,69E+01;3,24E+01;4,49;
6,70E+00;2,45E+01;-17,82;
4,47E+01;3,53E+01;9,39;
1,98E+01;2,13E+01;-1,48;
1,21E+01;2,04E+01;-8,26;
5,60E+00;2,64E+01;-20,78;
6,26E+01;2,84E+01;34,22;
1,70E+01;2,33E+01;-6,30;
2,89E+01;2,10E+01;7,87;
7,90E+01;4,37E+01;35,31;
1,66E+01;2,04E+01;-3,79;
4,32E+01;2,26E+01;20,58;
2,18E+01;2,61E+01;-4,29;
2,42E+01;2,26E+01;1,61;
1,75E+01;2,11E+01;-3,56;
2,41E+01;2,25E+01;1,62;
4,19E+01;4,38E+01;-1,91;
3,41E+01;2,95E+01;4,58;
9,30E+00;1,68E+01;-7,48;
2,71E+01;2,86E+01;-1,51;
8,70E+00;1,80E+01;-9,25;
3,04E+01;4,51E+01;-14,69;
1,43E+01;2,32E+01;-8,93;
2,26E+01;2,34E+01;-0,76;
1,74E+01;3,15E+01;-14,15;
1,26E+01;2,11E+01;-8,54;
3,69E+01;3,14E+01;5,49;
8,70E+00;2,26E+01;-13,89;
1,09E+01;2,43E+01;-13,44;
2,32E+01;2,18E+01;1,39;
1,38E+01;2,43E+01;-10,47;
3,95E+01;5,31E+01;-13,59;
1,62E+01;2,30E+01;-6,85;
1,57E+01;2,75E+01;-11,80;
1,80E+01;1,86E+01;-0,64;
8,42E+01;6,03E+01;23,92;
3,73E+01;4,17E+01;-4,36;
4,31E+01;4,61E+01;-2,96;
1,48E+01;2,62E+01;-11,36;
4,93E+01;5,93E+01;-9,95;
1,47E+01;2,29E+01;-8,21;
1,00E+01;2,13E+01;-11,33;
1,08E+01;1,60E+01;-5,23;
3,80E+01;4,31E+01;-5,06;
3,03E+01;2,39E+01;6,36;
2,26E+01;2,20E+01;0,58;
2,24E+01;2,18E+01;0,60;
1,32E+01;3,01E+01;-16,91;
5,45E+01;5,87E+01;-4,19;
2,58E+01;3,61E+01;-10,26;
4,39E+01;4,05E+01;3,37;
3,00E+01;2,50E+01;5,05;
3,19E+01;2,46E+01;7,32;
1,31E+01;2,30E+01;-9,95;
1,45E+01;2,99E+01;-15,38;
1,67E+01;2,04E+01;-3,71;
2,91E+01;3,95E+01;-10,37;
1,92E+01;2,75E+01;-8,25;
2,89E+01;3,04E+01;-1,46;
3,11E+01;3,65E+01;-5,37;
1,21E+01;3,09E+01;-18,82;
8,30E+00;2,18E+01;-13,48;
5,13E+01;4,69E+01;4,36;
1,67E+01;1,88E+01;-2,11;
1,10E+01;3,57E+01;-24,66;
2,90E+01;2,71E+01;1,92;
