16,50;21,73;5,23;
22,00;26,06;4,06;
9,70;22,11;12,41;
40,70;38,56;-2,14;
25,90;20,52;-5,38;
10,00;22,17;12,17;
21,00;19,33;-1,67;
27,10;24,25;-2,85;
17,30;21,16;3,86;
21,10;15,25;-5,85;
34,30;21,69;-12,61;
44,00;28,03;-15,97;
27,30;18,94;-8,36;
51,40;36,53;-14,87;
45,10;37,59;-7,51;
11,40;23,11;11,71;
30,00;25,23;-4,77;
39,20;36,72;-2,48;
17,80;25,58;7,78;
16,80;22,73;5,93;
34,30;26,19;-8,11;
23,60;26,31;2,71;
42,50;27,63;-14,88;
31,60;40,31;8,71;
15,40;21,13;5,73;
25,50;21,95;-3,55;
19,50;19,77;0,27;
35,50;23,27;-12,23;
45,40;31,13;-14,28;
55,70;39,84;-15,86;
34,00;28,58;-5,42;
23,20;24,84;1,64;
21,70;35,25;13,55;
7,90;20,45;12,55;
13,00;19,44;6,44;
44,90;32,94;-11,96;
41,30;21,39;-19,91;
39,80;27,28;-12,52;
36,90;25,88;-11,03;
20,30;21,17;0,87;
6,30;20,55;14,25;
24,20;41,09;16,89;
28,00;27,77;-0,23;
30,10;31,86;1,76;
43,50;30,50;-13,00;
19,40;25,67;6,27;
12,40;10,74;-1,66;
29,00;30,72;1,72;
39,60;33,25;-6,35;
30,20;26,22;-3,98;
18,60;20,44;1,84;
15,80;25,83;10,03;
5,70;26,45;20,75;
31,30;32,88;1,58;
16,90;22,33;5,43;
8,60;19,84;11,24;
35,10;30,00;-5,10;
12,50;19,31;6,81;
35,00;23,77;-11,23;
12,50;20,48;7,98;
21,20;23,53;2,33;
13,80;20,59;6,79;
13,10;20,17;7,07;
24,60;40,91;16,31;
35,00;25,19;-9,81;
46,50;36,47;-10,03;
2,50;19,91;17,41;
27,30;29,23;1,93;
43,90;34,69;-9,21;
12,90;19,03;6,13;
29,60;24,78;-4,82;
20,00;20,91;0,91;
44,90;27,38;-17,53;
19,40;25,09;5,69;
15,60;31,97;16,37;
53,80;32,19;-21,61;
22,50;32,38;9,88;
19,90;27,72;7,82;
8,60;26,75;18,15;
15,30;19,48;4,18;
12,10;23,64;11,54;
18,30;25,92;7,62;
12,20;20,84;8,64;
14,20;23,42;9,22;
18,80;30,11;11,31;
12,40;21,13;8,73;
13,10;17,84;4,74;
23,70;33,25;9,55;
17,50;28,02;10,52;
49,00;21,98;-27,02;
21,70;25,97;4,27;
43,70;40,41;-3,29;
30,60;28,11;-2,49;
26,60;27,23;0,63;
25,40;22,55;-2,85;
25,80;32,59;6,79;
39,20;40,84;1,64;
36,70;27,97;-8,73;
21,40;32,16;10,76;
46,70;29,47;-17,23;
42,90;44,00;1,10;
41,40;34,91;-6,49;
57,30;52,78;-4,52;
25,40;26,31;0,91;
68,00;53,50;-14,50;
43,70;50,69;6,99;
56,90;44,56;-12,34;
54,50;38,97;-15,53;
67,90;63,75;-4,15;
39,90;40,81;0,91;
51,50;26,70;-24,80;
39,20;39,41;0,21;
61,60;62,75;1,15;
28,20;23,78;-4,42;
25,20;24,80;-0,40;
36,10;26,48;-9,62;
55,30;49,31;-5,99;
40,70;44,50;3,80;
26,20;29,81;3,61;
29,90;29,16;-0,74;
74,00;57,00;-17,00;
43,00;54,53;11,53;
36,70;28,16;-8,54;
31,60;36,53;4,93;
30,40;27,92;-2,48;
30,40;33,56;3,16;
61,50;48,63;-12,88;
45,80;41,34;-4,46;
34,90;28,64;-6,26;
81,40;55,16;-26,24;
28,80;32,25;3,45;
35,20;37,41;2,21;
46,10;46,44;0,34;
43,30;35,75;-7,55;
50,40;41,34;-9,06;
37,90;36,19;-1,71;
52,10;50,13;-1,97;
79,00;41,78;-37,22;
29,80;36,34;6,54;
31,20;41,69;10,49;
26,30;23,27;-3,03;
17,50;21,20;3,70;
20,60;33,81;13,21;
29,10;32,38;3,27;
28,80;36,81;8,01;
20,80;22,52;1,72;
27,00;20,25;-6,75;
26,60;42,78;16,18;
36,90;37,31;0,41;
31,20;32,34;1,14;
17,10;14,99;-2,11;
30,70;29,08;-1,62;
25,80;21,72;-4,08;
11,40;20,38;8,98;
25,50;28,81;3,31;
18,40;16,53;-1,87;
50,40;30,38;-20,03;
18,80;19,02;0,22;
15,80;17,63;1,82;
11,70;16,13;4,43;
9,40;23,91;14,51;
28,90;35,41;6,51;
18,80;24,42;5,62;
7,70;16,91;9,21;
19,20;24,75;5,55;
25,50;38,28;12,78;
44,50;31,31;-13,19;
31,60;20,63;-10,98;
4,50;17,19;12,69;
28,20;27,42;-0,78;
28,00;22,44;-5,56;
13,10;17,80;4,70;
41,50;31,61;-9,89;
9,00;17,02;8,02;
14,60;14,12;-0,48;
17,90;18,31;0,41;
7,70;15,66;7,96;
10,40;18,09;7,69;
32,20;28,20;-4,00;
19,40;21,02;1,62;
11,20;16,89;5,69;
22,20;19,98;-2,22;
14,50;16,91;2,41;
20,80;17,22;-3,58;
30,00;22,39;-7,61;
11,40;17,78;6,38;
10,90;17,45;6,55;
10,60;20,94;10,34;
5,20;16,70;11,50;
10,30;16,13;5,82;
15,50;20,94;5,44;
12,10;13,66;1,56;
10,10;15,89;5,79;
10,60;12,76;2,16;
7,40;15,85;8,45;
19,10;17,92;-1,18;
11,90;18,05;6,15;
13,90;17,70;3,80;
25,10;23,06;-2,04;
12,40;11,28;-1,12;
